T1,T2,T3,T4,T5,T6,Razem
3,3,2,2,4,28,19
1,1,2,1,16,35,19
3,2,5,2,20,42,24
3,4,1,2,13,41,36
1,2,5,2,22,44,27
2,2,3,2,21,42,26
1,1,5,1,15,36,25
1,1,5,1,20,44,28
2,2,3,2,19,39,17
2,2,1,1,16,36,27
3,2,3,1,18,40,21
2,3,4,1,17,40,24
3,1,3,2,8,33,18
3,4,1,1,6,27,18
2,2,5,1,5,44,14
2,1,5,1,20,45,28
2,2,3,1,18,41,21
3,3,1,1,11,31,22
2,4,1,1,19,41,20
2,2,5,1,14,43,21
2,2,4,2,22,43,35
2,1,3,2,13,31,22
3,3,3,2,16,39,18
2,2,2,1,6,26,14
2,2,4,1,7,34,16
2,2,3,2,17,41,27
3,3,2,1,7,37,29
2,2,4,2,21,46,29
2,1,4,1,20,41,28
1,2,3,2,23,48,29
2,2,1,1,15,40,25
2,3,5,1,16,42,17
2,1,2,1,14,43,20
1,2,3,2,16,45,26
1,2,5,1,21,45,28
1,1,5,2,25,47,33
1,1,1,1,18,42,31
2,2,2,1,16,38,27
